,Player,Team,Pos,1st Pick Value,Starter Value,Inc 1st Pick,PAR,PAS,FantasyPoints
118,David Johnson,HOU,RB,27.47,22.73,4.739999999999998,79.6,-7.386666666666628,173.7
286,Davante Adams,GB,WR,27.46,22.71,4.75,79.55,32.68000000000001,183.0
119,Leonard Fournette,JAC,RB,25.64,21.22,4.420000000000002,74.30000000000001,-12.68666666666661,168.4
287,Tyreek Hill,KC,WR,25.56,21.14,4.419999999999998,74.05,27.180000000000007,177.5
288,Julio Jones,ATL,WR,25.01,20.69,4.32,72.45,25.580000000000013,175.9
565,George Kittle,SF,TE,24.87,20.57,4.300000000000001,72.05000000000001,36.250000000000014,149.4
120,Le'Veon Bell,NYJ,RB,24.37,20.16,4.210000000000001,70.6,-16.386666666666628,164.7
2,Dak Prescott,DAL,QB,24.13,19.96,4.169999999999998,69.89999999999998,17.558333333333337,315.4
121,Clyde Edwards-Helaire,KC,RB,23.16,19.16,4.0,67.1,-19.886666666666628,161.2
122,Melvin Gordon,DEN,RB,22.95,18.99,3.960000000000001,66.5,-20.486666666666622,160.6
123,James Conner,PIT,RB,21.12,17.47,3.650000000000002,61.20000000000002,-25.786666666666605,155.3
289,DeAndre Hopkins,ARI,WR,21.04,17.4,3.6400000000000006,60.95,14.080000000000013,164.4
3,Deshaun Watson,HOU,QB,20.81,17.22,3.59,60.30000000000001,7.958333333333371,305.8
124,Jonathan Taylor,IND,RB,20.26,16.76,3.5,58.70000000000002,-28.286666666666605,152.8
125,David Montgomery,CHI,RB,20.16,16.68,3.4800000000000004,58.400000000000006,-28.586666666666616,152.5
291,Kenny Golladay,DET,WR,19.97,16.52,3.4499999999999993,57.85000000000001,10.980000000000018,161.3
290,Chris Godwin,TB,WR,19.97,16.52,3.4499999999999993,57.85000000000001,10.980000000000018,161.3
4,Russell Wilson,SEA,QB,19.78,16.36,3.4200000000000017,57.30000000000001,4.958333333333371,302.8
292,Mike Evans,TB,WR,19.73,16.32,3.41,57.14999999999999,10.280000000000001,160.6
126,Mark Ingram II,BAL,RB,19.02,15.73,3.289999999999999,55.099999999999994,-31.886666666666628,149.2
566,Mark Andrews,BAL,TE,18.07,14.95,3.120000000000001,52.349999999999994,16.549999999999997,129.7
293,Adam Thielen,MIN,WR,17.83,14.75,3.0799999999999983,51.64999999999999,4.780000000000001,155.1
127,Devin Singletary,BUF,RB,17.12,14.16,2.960000000000001,49.599999999999994,-37.38666666666663,143.7
294,Amari Cooper,DAL,WR,16.65,13.78,2.869999999999999,48.249999999999986,1.3799999999999955,151.7
5,Josh Allen,BUF,QB,16.64,13.76,2.880000000000001,48.19999999999999,-4.1416666666666515,293.7
6,Kyler Murray,ARI,QB,16.46,13.62,2.8400000000000016,47.69999999999999,-4.6416666666666515,293.2
295,Odell Beckham Jr.,CLE,WR,16.38,13.55,2.8299999999999983,47.45,0.5800000000000125,150.9
296,A.J. Brown,TEN,WR,16.17,13.38,2.790000000000001,46.85000000000001,-0.01999999999998181,150.3
297,Cooper Kupp,LAR,WR,15.86,13.12,2.74,45.95,-0.9199999999999875,149.4
128,Raheem Mostert,SF,RB,15.84,13.11,2.7300000000000004,45.900000000000006,-41.086666666666616,140.0
298,JuJu Smith-Schuster,PIT,WR,15.55,12.86,2.6900000000000013,45.05,-1.8199999999999932,148.5
567,Zach Ertz,PHI,TE,15.34,12.69,2.6500000000000004,44.45,8.650000000000006,121.8
129,D'Andre Swift,DET,RB,15.32,12.68,2.6400000000000006,44.400000000000006,-42.586666666666616,138.5
299,Robert Woods,LAR,WR,15.2,12.58,2.619999999999999,44.05,-2.819999999999993,147.5
300,Tyler Lockett,SEA,WR,15.1,12.49,2.6099999999999994,43.749999999999986,-3.1200000000000045,147.2
301,D.J. Moore,CAR,WR,15.03,12.43,2.5999999999999996,43.55,-3.319999999999993,147.0
302,Calvin Ridley,ATL,WR,14.13,11.69,2.4400000000000013,40.95,-5.9199999999999875,144.4
303,Allen Robinson,CHI,WR,14.0,11.58,2.42,40.55,-6.319999999999993,144.0
304,Courtland Sutton,DEN,WR,13.69,11.32,2.369999999999999,39.64999999999999,-7.219999999999999,143.1
568,Darren Waller,LV,TE,13.37,11.06,2.3099999999999987,38.75,2.950000000000003,116.1
130,Ronald Jones II,TB,RB,13.18,10.91,2.2699999999999996,38.20000000000002,-48.786666666666605,132.3
305,Keenan Allen,LAC,WR,12.65,10.46,2.1899999999999995,36.64999999999999,-10.219999999999999,140.1
306,T.Y. Hilton,IND,WR,12.62,10.44,2.1799999999999997,36.55,-10.319999999999993,140.0
131,Cam Akers,LAR,RB,12.53,10.36,2.17,36.30000000000001,-50.68666666666661,130.4
307,Terry McLaurin,WAS,WR,12.17,10.06,2.1099999999999994,35.249999999999986,-11.620000000000005,138.7
7,Matt Ryan,ATL,QB,11.84,9.79,2.0500000000000007,34.30000000000001,-18.04166666666663,279.8
308,DeVante Parker,MIA,WR,11.37,9.41,1.959999999999999,32.95,-13.919999999999987,136.4
132,Kareem Hunt,CLE,RB,11.36,9.39,1.9699999999999989,32.900000000000006,-54.086666666666616,127.0
8,Tom Brady,TB,QB,11.22,9.28,1.9400000000000013,32.5,-19.84166666666664,278.0
133,Derrius Guice,WAS,RB,10.91,9.02,1.8900000000000006,31.60000000000001,-55.38666666666661,125.7
134,Kerryon Johnson,DET,RB,10.49,8.68,1.8100000000000005,30.400000000000006,-56.586666666666616,124.5
309,D.K. Metcalf,SEA,WR,10.44,8.64,1.799999999999999,30.249999999999986,-16.620000000000005,133.7
310,Jarvis Landry,CLE,WR,10.23,8.47,1.7599999999999998,29.64999999999999,-17.22,133.1
135,Sony Michel,NE,RB,10.11,8.37,1.7400000000000002,29.30000000000001,-57.68666666666661,123.4
9,Drew Brees,NO,QB,10.08,8.34,1.7400000000000002,29.19999999999999,-23.14166666666665,274.7
311,A.J. Green,CIN,WR,9.75,8.07,1.6799999999999997,28.249999999999986,-18.620000000000005,131.7
312,Michael Gallup,DAL,WR,9.47,7.84,1.6300000000000008,27.450000000000003,-19.419999999999987,130.9
313,D.J. Chark,JAC,WR,9.37,7.75,1.6199999999999992,27.14999999999999,-19.72,130.6
569,Evan Engram,NYG,TE,9.34,7.72,1.62,27.05000000000001,-8.749999999999986,104.4
314,Stefon Diggs,BUF,WR,9.34,7.72,1.62,27.049999999999997,-19.819999999999993,130.5
136,Tevin Coleman,SF,RB,9.01,7.45,1.5599999999999996,26.10000000000001,-60.88666666666661,120.2
137,Damien Williams,KC,RB,8.49,7.02,1.4700000000000006,24.60000000000001,-62.38666666666661,118.7
10,Aaron Rodgers,GB,QB,8.42,6.97,1.4500000000000002,24.399999999999977,-27.941666666666663,269.9
570,Jared Cook,NO,TE,8.4,6.95,1.4500000000000002,24.35000000000001,-11.449999999999989,101.7
709,Harrison Butker,KC,K,8.35,6.91,1.4399999999999995,24.200000000000003,14.158333333333317,135.0
138,Jordan Howard,MIA,RB,8.35,6.91,1.4399999999999995,24.200000000000003,-62.78666666666662,118.3
139,Marlon Mack,IND,RB,8.18,6.77,1.4100000000000001,23.700000000000003,-63.28666666666662,117.8
11,Carson Wentz,PHI,QB,8.11,6.71,1.3999999999999995,23.5,-28.84166666666664,269.0
710,Wil Lutz,NO,K,7.87,6.51,1.3600000000000003,22.799999999999997,12.758333333333312,133.6
315,Marquise Brown,BAL,WR,7.58,6.27,1.3100000000000005,21.950000000000003,-24.919999999999987,125.4
747,Pittsburgh Steelers,Pittsburgh Steelers,DST,7.46,6.17,1.29,21.60000000000001,10.758333333333326,122.2
571,Hunter Henry,LAC,TE,7.06,5.84,1.2199999999999998,20.450000000000003,-15.349999999999994,97.8
140,Ke'Shawn Vaughn,TB,RB,7.01,5.8,1.21,20.30000000000001,-66.68666666666661,114.4
